0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
500,,1,28,27,55,Co,-54029.996,0.405,8669.6204,0.0074,-8694.035,0.5775,54941996.42,0.434,0
501,,-1,27,28,55,Ni,-45335.961,0.705,8497.3225,0.0128,-13700.5585,155.5611,54951329.85,0.757,0
502,,-3,26,29,55,Cu,-31635.403,155.56,8233.997,2.8284,-17366,429,54966038,167,0
503,,-5,25,30,55,Zn,-14270,400,7904,7,,,54984681,429,1
504,0,18,37,19,56,K,7980,600,7663,11,21491,650,56008567,644,1
505,,16,36,20,56,Ca,-13510.39,249.64,8033.1654,4.4579,12005.458,360.2029,55985496,268,0
506,,14,35,21,56,Sc,-25515.848,259.665,8233.5781,4.6369,13907.147,278.3271,55972607.61,278.761,0
507,,12,34,22,56,Ti,-39422.995,100.201,8467.9495,1.7893,6760.4051,188.1842,55957677.68,107.569,0
508,,10,33,23,56,V,-46183.401,175.884,8574.7006,3.1408,9101.727,175.8854,55950420.08,188.819,0
509,,8,32,24,56,Cr,-55285.128,0.578,8723.2609,0.0103,1626.5384,0.5524,55940648.98,0.62,0
510,,6,31,25,56,Mn,-56911.666,0.293,8738.3358,0.0052,3695.4973,0.2065,55938902.82,0.314,0
511,,4,30,26,56,Fe,-60607.163,0.268,8790.3563,0.0048,-4566.6455,0.4104,55934935.54,0.287,0
512,,2,29,27,56,Co,-56040.518,0.475,8694.8386,0.0085,-2132.8689,0.3735,55939838.03,0.51,0
513,,0,28,28,56,Ni,-53907.649,0.399,8642.7811,0.0071,-15277.9163,6.407,55942127.76,0.428,0
514,,-2,27,29,56,Cu,-38629.733,6.395,8355.9907,0.1142,-13240,400,55958529.28,6.864,0
515,,-4,26,30,56,Zn,-25390,400,8106,7,-21550,640,55972743,429,1
516,,-6,25,31,56,Ga,-3840,500,7707,9,,,55995878,537,1
517,0,19,38,19,57,K,14130,600,7563,11,20689,721,57015169,644,1
518,,17,37,20,57,Ca,-6560,400,7912,7,14820,438,56992958,429,1
519,,15,36,21,57,Sc,-21379.653,179.778,8158.1666,3.154,13022.1957,273.3249,56977048,193,0
520,,13,35,22,57,Ti,-34401.848,205.879,8372.9008,3.6119,10033.2148,222.6466,56963068.1,221.02,0
521,,11,34,23,57,V,-44435.063,84.766,8535.1967,1.4871,8089.9214,84.7864,56952297,91,0
522,,9,33,24,57,Cr,-52524.985,1.863,8663.3998,0.0327,4961.2946,2.3948,56943612.11,2,0
523,,7,32,25,57,Mn,-57486.279,1.505,8736.7146,0.0264,2695.7375,1.5219,56938285.94,1.615,0
524,,5,31,26,57,Fe,-60182.017,0.268,8770.2829,0.0047,-836.3589,0.4493,56935391.95,0.287,0
525,,3,30,27,57,Co,-59345.658,0.516,8741.8845,0.009,-3261.697,0.6417,56936289.82,0.553,0
526,,1,29,28,57,Ni,-56083.961,0.566,8670.9364,0.0099,-8774.9466,0.4393,56939791.39,0.608,0
527,,-1,28,29,57,Cu,-47309.014,0.501,8503.2646,0.0088,-14759,200,56949211.69,0.537,0
528,,-3,27,30,57,Zn,-32550,200,8231,4,-17140,447,56965056,215,1
529,,-5,26,31,57,Ga,-15410,400,7916,7,,,56983457,429,1
530,0,20,39,19,58,K,21930,700,7437,12,23461,860,58023543,751,1
531,,18,38,20,58,Ca,-1530,500,7828,9,13949,535,57998357,537,1
532,,16,37,21,58,Sc,-15479.569,190.025,8054.9436,3.2763,15438.0995,264.0509,57983382,204,0
533,,14,36,22,58,Ti,-30917.668,183.34,8307.629,3.161,9512.9152,206.8675,57966808.52,196.823,0
534,,12,35,23,58,V,-40430.584,95.816,8458.156,1.652,11561.224,95.8625,57956595.99,102.862,0
535,,10,34,24,58,Cr,-51991.808,2.981,8643.9987,0.0514,3835.7607,4.0227,57944184.5,3.2,0
536,,8,33,25,58,Mn,-55827.568,2.701,8696.6438,0.0466,6327.7027,2.7198,57940066.64,2.9,0
537,,6,32,26,58,Fe,-62155.271,0.316,8792.2534,0.0055,-2307.9785,1.1389,57933273.58,0.339,0
538,,4,31,27,58,Co,-59847.292,1.153,8738.9719,0.0199,381.5789,1.1071,57935751.29,1.237,0
539,,2,30,28,58,Ni,-60228.871,0.349,8732.0621,0.006,-8561.0204,0.4425,57935341.65,0.374,0
540,,0,29,29,58,Cu,-51667.851,0.564,8570.9696,0.0097,-9368.9796,50.002,57944532.28,0.604,0
541,,-2,28,30,58,Zn,-42298.871,50.001,8395.9467,0.8621,-18759,304,57954590.3,53.678,0
542,,-4,27,31,58,Ga,-23540,300,8059,5,-15960,583,57974729,322,1
543,,-6,26,32,58,Ge,-7580,500,7770,9,,,57991863,537,1
544,0,21,40,19,59,K,28750,800,7332,14,22940,1000,59030864,859,1
545,,19,39,20,59,Ca,5810,600,7708,10,16639,650,59006237,644,1
